year,title,author,doi,url,publisher,booktitle,editor,abstract
2019,A systematic review on cross-cultural information systems research: Evidence from the last decade,Xinmin Chu and Xin (Robert) Luo and Yan Chen,https://doi.org/10.1016/j.im.2018.08.001,https://www.sciencedirect.com/science/article/pii/S0378720618303422,,,,"Based on a review of 40 articles published in the information systems journals of the senior basket since 2006, this article presents refreshing and updated patterns of cross-cultural information systems (CCIS) research and suggests a roadmap for future research in CCIS. This 10-year systematic review contributes to the information systems community by unveiling three streams of transitions in CCIS research: (1) from national level to individual level with espoused and contextual cultural values, (2) from corporate users to end users, and (3) from West to East with the emergence of Chinese culture. The limitations and future research directions are presented."
2025,Challenges and opportunities: Implementing diversity and inclusion in software engineering university level education in Finland,Sonja M. Hyrynsalmi,https://doi.org/10.1016/j.jss.2024.112239,https://www.sciencedirect.com/science/article/pii/S0164121224002838,,,,"Considerable efforts have been made at the high school level to encourage girls to pursue software engineering careers and raise awareness about diversity within the field. Similarly, software companies have become more active in diversity and inclusion (D&I) topics, aiming to create more inclusive work environments. However, the way diversity and inclusion are approached inside software engineering university education remains less clear. This study investigates the current state of D&I in software engineering education and faculties in Finland. An online survey (N = 30) was conducted among Finnish software engineering university teachers to investigate which approaches and case examples of D&I are most commonly used by software engineering teachers in Finland. In addition, it was researched how software engineering teachers perceive the importance of D&I in their courses. As a result of the quantitative and thematic analysis, a framework to identify attitudes, approaches, challenges and pedagogical strategies when implementing D&I themes in software engineering education is presented. This framework also offers a process for integrating D&I themes for the curriculum or at the faculty level. The findings of this study emphasize that there is a continuing need for diverse-aware education and training. The results underline the responsibility of universities to ensure that future professionals are equipped with the necessary skills and knowledge to promote D&I in the field of software engineering."
2024,3 - Design part II: Artificial intelligence i(ntegral+) s(ustainable) development,Dominique J. Monlezun,https://doi.org/10.1016/B978-0-443-21597-1.00003-2,https://www.sciencedirect.com/science/article/pii/B9780443215971000032,Morgan Kaufmann,Responsible Artificial Intelligence Re-engineering the Global Public Health Ecosystem,Dominique J. Monlezun,"This chapter considers integral sustainable development as the grand strategic vision of the global public health ecosystem. This follows the global consensus of the world’s countries on the sustainable development goals (SDGs) through the United Nations as its own strategy for world peace through equitable prosperity, subsequently embraced by the World Health Organization for measuring and advancing toward equitable health for all. This chapter begins with an historical overview of this development strategy following World War II through the Cold War to the present moment with the increasing introduction of artificial intelligence (AI) for social good generally, and AI advancing the SDGs specifically, or “AI × SDGs.” This ecosystem model is essentially a whole-of-world approach that bridges whole-of-government and whole-of-society movements to unite diverse sectors, stakeholders, and belief systems for the advancement of personal and population health at scale, ultimately to advance humanity’s health. This chapter features a detailed breakdown of concrete use cases of AI according to specific SDGs, including those in precision agriculture to reduce poverty and hunger, enhanced climate change prediction and mitigation, affordable clean energy transitions (with advances protecting biodiversity), and more equitable and decolonized global–local public–private partnerships (spanning mRNA vaccines and digital diagnostics, including lab-on-a-chip tests especially for low-income countries and remote areas). This chapter also considers such AI development advances for health in the global context of polycrises, which boost the risk of the Great Divergence becoming permanent—at least for the foreseeable future. This chapter considers how climate change, COVID-19, Russia’s 2022 full-scale invasion of Ukraine (driving further global debt, food, and energy crises), worsening demographics (with the growing global burden of disease), and increasing regional conflicts raise the likelihood and duration of the growing separation of the Global South from the Global West and North, with their AI and digital technology–powered advanced economies. This chapter therefore considers how responsible AI may bridge this structural separation through the sustainable development strategy, without which the power and riches of the Global North are not just morally but also pragmatically undermined without more equitable global growth."
2025,Striking the Balance: Generalization vs. Memorization in Anonymization and De-anonymization through LLMs,Méliane Angèle Kokmel and Antragama Ewa Abbas and Igor Tchappi,https://doi.org/10.1016/j.procs.2025.03.114,https://www.sciencedirect.com/science/article/pii/S1877050925008518,,,,"Text anonymization aims to enable the secure sharing of information between parties. One of the main challenges in data anonymization is achieving a balance between ensuring data privacy and maintaining data utility. To address these challenges, recent studies have explored the use of Large Language Models (LLMs), which have shown improved performance on datasets from Europe. Based on these findings, this paper aims to create a dataset from less explored parts of the world, specifically Africa, to assess the relevance of LLMs on diverse datasets and to discuss the generalization of the results. Additionally, this paper proposes an evaluation framework for assessing various anonymization techniques, including those utilizing LLMs. The performance of these techniques is assessed using several metrics, such as BERTScore for semantic evaluation and Information Loss for utility preservation."
2023,Designing a Mobile e-Coaching App for Immigrant Informal Caregivers: Qualitative Study Using the Persuasive System Design Model,Shweta Premanandan and Awais Ahmad and Åsa Cajander and Pär Ågerfalk and Michal Dolezel and Lisette {van Gemert-Pijnen},https://doi.org/10.2196/50038,https://www.sciencedirect.com/science/article/pii/S2291522223000980,,,,"Background
Informal caregivers are vital in caring for their family and friends at home who may have illnesses or disabilities. In particular, the demands for caregiving can be even more challenging for those with limited resources, support systems, and language barriers, such as immigrant informal caregivers. They face complex challenges in providing care for their relatives. These challenges can be related to sociocultural diversity, language barriers, and health care system navigation. Acknowledging the global context of the increasing number of immigrants is essential in designing inclusive mobile health apps.
Objective
This study aims to investigate the needs of immigrant informal caregivers in Sweden and discuss the application of the Persuasive System Design Model (PSDM) to develop an e-coaching prototype. By addressing the unique challenges faced by immigrant informal caregivers, this study will contribute to the development of more effective and inclusive mobile health apps.
Methods
The participants were considered immigrants and included in the study if they and their parents were born outside of Sweden. Through various channels, such as the National Association of Relatives, rehabilitation departments at municipalities, and immigrant groups, we recruited 13 immigrant informal caregivers. These immigrant informal caregivers were primarily women aged 18 to 40 years. Most participants belonged to the Middle Eastern region whereas some were from North Africa. However, all of them spoke Arabic. We used semistructured interviews to gather data from the participants in Arabic, which were translated into English. Data were analyzed using thematic analysis and discussed in relation to the extended PSDM. The needs of the caregivers were compared with the description of persuasive design principles, and a design principle was chosen based on the match. The PSDM was extended if the need description did not match any principles. Several brainstorming and prototyping sessions were conducted to design the mobile e-coaching app.
Results
Immigrant informal caregivers have various needs in their caregiving role. They reported a need for training on the illness and future caregiving needs, assistance with understanding the Swedish language and culture, and help with accessing internet-based information and services. They also required recognition and appreciation for their efforts, additional informal support, and easy access to health care services, which can be important for their mental health. The PSDM was adapted to the informal caregiving context by adding “facilitating conditions” and “verbal encouragement” as additional persuasive design principles. This study also presents the subsequent mobile e-coaching app for immigrant informal caregivers in Sweden.
Conclusions
This study revealed important immigrant informal caregivers’ needs based on which design suggestions for a mobile e-coaching app were presented. We also proposed an adapted PSDM, for the informal caregiving context. The adapted PSDM can be further used to design digital interventions for caregiving."
2023,"The skills members of multicultural teams need to succeed in Industry 5.0 – the opinion of managers from Portugal, France, and Greece",Agnieszka Knap-Stefaniuk,https://doi.org/10.1016/j.procs.2023.10.136,https://www.sciencedirect.com/science/article/pii/S1877050923012942,,,,"Nowadays managers need knowledge of current technological trends in order to be able to make strategic decisions, accurately predict the future, and make the best use of the existing opportunities for the development of their companies. Industry 5.0 poses new challenges in the area of people management, including those related to workforce skills required by employers and necessary in the near future in the efficient management of companies, their effective operation, and a competitive advantage in the market. The concept of Industry 5.0 requires companies and managers to change their attitude to employees. Their new modus operandi should cover new requirements regarding workforce skills and new ways of attracting and retaining human capital equipped with adequate skills. The aim of this article is to present workforce skills identified by managers from three European countries (Portugal, France, and Greece) as particularly important in Industry 5.0. The research methods used in the study are a literature review and 12 individual in-depth interviews conducted in 2023 (four interviewees from each country covered by the study). The analysis of literature and the interviews conducted by the author reveal that workforce skills in Era 5.0 are moving in the direction of soft skills and can be divided into four groups: problem-solving, working with people, technology use and development, and self-management. Workforce skills in Industry 5.0, especially those related to managing multicultural teams, is a research area which has not been extensively studied so far. Even though the study described in the article is only qualitative and conducted on a small sample, its results justify recommending further in-depth studies and can be used by companies to improve their search for employees who possess skills which correspond to the requirements of Industry 5.0."
2015,User Interfaces with a Touch of Grey? – Towards a Specific UI Design for People in the Transition Age,Friederike Boll and Philipp Brune,https://doi.org/10.1016/j.procs.2015.08.377,https://www.sciencedirect.com/science/article/pii/S1877050915025120,,,,"While applications and user interfaces (UI) for elderly people have been discussed by various authors, the specific requirements of people in the transition age from work life to retirement (55-75 years) have not been analyzed in detail yet. Therefore, in this paper we present results from a qualitative empirical analysis within this age group, evaluate their specific usage behavior and system requirements and derive basic UI design guidelines from it. The results indicate that indeed this age group differs in its requirements from older people (75+) mainly considered in the existing literature."
2021,Predicting the Linguistic Accessibility of Chinese Health Translations: Machine Learning Algorithm Development,Meng Ji and Pierrette Bouillon,https://doi.org/10.2196/30588,https://www.sciencedirect.com/science/article/pii/S229196942100034X,,,,"Background
Linguistic accessibility has an important impact on the reception and utilization of translated health resources among multicultural and multilingual populations. Linguistic understandability of health translation has been understudied.
Objective
Our study aimed to develop novel machine learning models for the study of the linguistic accessibility of health translations comparing Chinese translations of the World Health Organization health materials with original Chinese health resources developed by the Chinese health authorities.
Methods
Using natural language processing tools for the assessment of the readability of Chinese materials, we explored and compared the readability of Chinese health translations from the World Health Organization with original Chinese materials from the China Center for Disease Control and Prevention.
Results
A pairwise adjusted t test showed that the following 3 new machine learning models achieved statistically significant improvement over the baseline logistic regression in terms of area under the curve: C5.0 decision tree (95% CI –0.249 to –0.152; P<0.001), random forest (95% CI 0.139-0.239; P<0.001) and extreme gradient boosting tree (95% CI 0.099-0.193; P<0.001). There was, however, no significant difference between C5.0 decision tree and random forest (P=0.513). The extreme gradient boosting tree was the best model, achieving statistically significant improvement over the C5.0 model (P=0.003) and the random forest model (P=0.006) at an adjusted Bonferroni P value at 0.008.
Conclusions
The development of machine learning algorithms significantly improved the accuracy and reliability of current approaches to the evaluation of the linguistic accessibility of Chinese health information, especially Chinese health translations in relation to original health resources. Although the new algorithms developed were based on Chinese health resources, they can be adapted for other languages to advance current research in accessible health translation, communication, and promotion."
2025,Social inclusion as a challenge in information access: Identification of health information needs of migrants from Africa to Spain,Jiménez-Castro María and Olvera-Lobo {María Dolores} and Gutiérrez-Artacho Juncal,https://doi.org/10.1016/j.procs.2025.02.226,https://www.sciencedirect.com/science/article/pii/S1877050925005873,,,,"The arrival of diverse migrant communities in Spain has created communication needs due to language and cultural barriers, administrative obstacles, and the digital divide, which can lead to social exclusion, particularly in healthcare access. This study aims to enhance social inclusion by identifying the health information needs of African migrants in Spain and evaluating the resources provided by Spanish NGOs. Using a mixed-methods approach, including qualitative interviews and quantitative analysis, the findings reveal significant barriers to accessing health information, such as unfamiliarity with the healthcare system and cultural obstacles. NGOs play a crucial role in mediating access to information and healthcare services, employing strategies to overcome linguistic and cultural challenges. The research highlights the importance of adapting information access strategies to the specific needs of migrants and suggests that involving migrant communities and NGOs in the design of information systems is essential to ensuring equitable access. This approach is critical for preventing social exclusion and promoting better integration into society."
2015,The Role of Virtual Communities of Practice in Knowledge Management Using Web 2.0,Hanan Ali Kabbas Al-ghamdi and Azzah Ali Kabbas Al-ghamdi,https://doi.org/10.1016/j.procs.2015.09.102,https://www.sciencedirect.com/science/article/pii/S1877050915029324,,,,"Despite the critical importance of knowledge management (KM) in helping organizations to improve performance and achieve the desired goals, the reality of the application of KM indicates that there are plenty of obstacles; most prominent of which are the difficulty of tacit KM, the poor cooperation and sharing in KM, and the difficulty of dealing with its techniques. This paper aims to determine how to take advantage of the virtual communities of practice that employ Web 2.0 technologies to overcome the obstacles of KM. Employing the descriptive approach based on theoretical analysis of literature, the results revealed that Web 2.0 technologies involve important applications in personal KM, supporting participation in participatory KM, in addition to supporting communication and interaction mechanisms. Moreover, results indicated that Web 2.0-based-communities of practice play major roles in capturing tacit knowledge, facilitating innovation, as well as knowledge sharing and collaboration."
2022,Using participatory design to integrate stakeholder voices in the creation of a culturally relevant computing curriculum,Merijke Coenraad and Jen Palmer and Donna Eatinger and David Weintrop and Diana Franklin,https://doi.org/10.1016/j.ijcci.2021.100353,https://www.sciencedirect.com/science/article/pii/S2212868921000635,,,,"Given the importance of broadening participation in computer science classes, this paper investigates the use of participatory design as a means to develop a culturally relevant computer science curriculum. The Scratch Encore curriculum is designed for 5th–8th grade (10–14 years old) learners and seeks to present computer science concepts in a relevant way that allows for both teacher and student flexibility in the lesson themes and student created project content. To create the curriculum, we ran a series of participatory design sessions with various educational stakeholders including students, teachers, administrators, and parents. In this article, we explore the ways that ideas from the participatory design sessions shaped the final curriculum. Specifically, we focus on the use of participatory design as a context for culturally relevant idea generation and the various ways these ideas can be incorporated into instructional materials. We present these methods of integration as potential means through which others seeking to create culturally relevant materials can utilize participatory design and stakeholder voices within their design process."
2021,Factors influencing K-pop artists' success on V live online video platform,Seongcheol Kim and ShinYoung Hwang and Junghwan Kim,https://doi.org/10.1016/j.telpol.2020.102090,https://www.sciencedirect.com/science/article/pii/S0308596120301804,,,,"Korean pop music, commonly referred to as “K-pop,” is a genre that is gaining significant visibility and attention from global listeners. Among various factors that contribute to K-pop's global appeal, this study focuses on social media, particularly online video platforms. Video platforms are important as they enable artists to communicate directly with fans through live videos and encourage grassroots participation from fans. This study specifically focuses on a niche K-pop video platform, V Live, to investigate the factors that contribute to the artists' V Live channel success. By examining factors related to K-pop artists, the artist's V Live activities, and V Live support factors, the study examines 289 K-pop artists' V Live channels using hierarchical regression analysis. The study found that high popularity and fan engagement rates are influenced by K-pop artists' video uploads and the support from V Live and entertainment companies. As more celebrities and K-pop artists use online video platforms to communicate with fans, collaborative and strategic support is needed from not only artists and entertainment companies but also from platform operators to enhance K-pop's global reach."
2024,Applying strategic analysis for designing an educational program in smart manufacturing: the case of MIMS,Andrea Bikfalvi and Martí Casadesus and Rodolfo {de Castro} and Inés Ferrer and Lea Fobbe and Maria Luisa Garcia-Romeu and Pilar Marques,https://doi.org/10.1016/j.procs.2024.02.094,https://www.sciencedirect.com/science/article/pii/S1877050924002710,,,,"In this paper, we propose the application of strategic analysis tools to design an educational program. Findings are based on the case of the Master in Innovative Manufacturing Systems (MIMS), a unique training offer to achieve a multidisciplinary expertise in smart manufacturing, in a two-year program simulating the journey of innovation. Building on novel educational paradigms and recent developments in the area of manufacturing, the main goal of the program is to provide the European industry with outstanding experts willing, able, and trained to bring novel solutions that address relevant societal challenges. Special emphasis is placed on real-world contexts and proactive activities, as well as strategies to continuously update the program. We aim to contribute to the educational facet of smart manufacturing."
2016,Augmented places: An impact of embodied historical experience on attitudes towards places,Tomasz Oleksy and Anna Wnuk,https://doi.org/10.1016/j.chb.2015.12.014,https://www.sciencedirect.com/science/article/pii/S0747563215302909,,,,"Aim
The purpose of this paper was to examine the possibility of using Augmented Reality to reduce memory-related ethnic bias towards places and to increase understanding of multicultural place meaning and change emotional attitudes towards historical sites.
Background
Theoretical and empirical works suggest that the direct, embodied contact with place's history facilitates understanding of its past. Places which were deprived of historical continuity are less liked and threatened by ethnic bias in collective memory. AR technology gives a possibility of recreating past of such places and in a consequence tests an influence of experience of place's history on psychological aspects of the people-place relationship.
Method
A between-subjects experiment was conducted, in which participants either walked with an AR application displaying historical photos in real environment or watched photos on computers. The chosen place was the former Jewish district in Warsaw, Poland.
Results
The results of multiple regression analyses showed that the AR application can facilitate positive attitudes towards a place, reduce ethnic bias and enhance multicultural place meaning.
Conclusions
We argue that AR could be used as a method of reviving (multi)cultural heritage, but also as a tool of reducing prejudices and increasing openness to other cultures and traditions."
2023,CQ-motivation: the X-factor in Global Project Teams?,Neil C. Robinson,https://doi.org/10.1016/j.procs.2023.01.462,https://www.sciencedirect.com/science/article/pii/S187705092300474X,,,,"Global project teams (GPTs) have emerged in the 21st century as the primary construct by which complex and often high-stakes changes of global scale are planned and delivered. Data from the field of GPT practice includes the recurrent observation that some GPT practitioners seem to thrive in the cross-cultural context of the GPT, while others flounder. This research paper explores how cultural diversity influences motivation and performance within the GPT. It extracts themes of interest from a detailed literature review and further explores them in the context of a field study of 79 GPT practitioners in 21 countries. CQ-motivation emerges as a potent predictor of motivation and performance in the GPT. The study concludes that GPT team selection processes which actively leverage CQ-motivation, project manager ownership, and the prioritisation of attitude over functional skills, will be supportive of superior GPT performance."
2025,Public value and digital health: The example of guiding values in the national digital health strategy of France,Simon Lewerenz and Anne Moen and Henrique Martins,https://doi.org/10.1016/j.ijmedinf.2025.105794,https://www.sciencedirect.com/science/article/pii/S1386505625000115,,,,"Introduction
In the WHO European Region, 44 of 53 reporting Member States (MS) have a national digital health strategy (NDHS) or policy. Their formulation is heterogenous and evolving and should best reflect public common interest. This research aims to explore how a public value approach improves the relevance of digital health policies and services, increasing their capacity to better serve the diverse range of societal interests. It utilises the guiding values within the French NDHS as an example before discussing other digital health policies such as the European Heath Data Space.
Methods
Three homogenous focus group discussions were conducted in November and December 2023. Each focus group separately gathered distinct stakeholders: public clients, health professionals, private sector. 19 participants were included in the study. Data collection comprised live polling and semi-structured discussion. Results were analysed considering the pre-defined stakeholder groups and the values discussed during the study.
Results
Findings reveal both technical and cultural challenges in digital health that highlight the need for adaptable frameworks across different contexts. Stakeholder insights informed a framework classifying public values into democratic and managerial categories, suggesting themes that may be relevant to digital health strategies in other national and regional settings.
Discussion
Public value is discussed as a multidimensional concept, and the plurality of its perceptions give basis for tailored approaches to serve different value-beneficiaries comprehensively. We propose this values-based approach as a systematic model for supra-, sub-, and national scales and additional policy topics, beyond digital health strategies.
Conclusion
The study suggests that using a public value lens considering multiple perceptions is valuable for advancing digital health policy in a responsible and ethical manner. Such an approach could promote wider governance of and adoption of digital health. To evolve the framework, application in multiple and large ecosystems at different levels should be considered."
