year,title,author,doi,url,publisher,booktitle,editor,abstract
2019,Mobeybou - A Digital Manipulative for Multicultural Narrative Creation,"Sylla, Cristina and Martins, V\'{\i}tor and S\'{a}, Gabriela and Caruso, Ana Paula and Amaro, Bruno and Menegazzi, Douglas and Sylla, Francisco",10.1145/3290607.3311769,https://doi.org/10.1145/3290607.3311769,Association for Computing Machinery,Extended Abstracts of the 2019 CHI Conference on Human Factors in Computing Systems,,"Mobeybou, is a digital manipulative (DM) that uses physical blocks to interact with digital content. It intends to create an environment for promoting the development of language and narrative competences as well as digital literacy among pre and primary school children. It offers a variety of characters, objects and landscapes from various cultures around the world and can be used for creating multicultural narratives. An interactive app developed for each country provides additional cultural and geographical information about each represented culture."
2020,Nationality and Gender Biases in Multicultural Online Learning Environments: The Effects of Anonymity,"Morales-Martinez, Gabriela and Latreille, Paul and Denny, Paul",10.1145/3313831.3376283,https://doi.org/10.1145/3313831.3376283,Association for Computing Machinery,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,,"Online learning environments eliminate geographical barriers and enable new forms of collaboration between students at large scale. Self-presentation within such environments affects how students interact with learning content and with each other. We explore how anonymity/identifiability in user profile design impacts student interactions in a large multicultural classroom across two geographical locations. After triangulating 150,000 online interactions with questionnaires and focus groups, we provide three major findings. First, being identifiable had a significant impact on how students accessed and rated content created by their peers. Second, when identifiable, cultural differences became more prominent, leading some students to avoid content created by classmates of certain nationalities. Finally, when students interacted with their real identities, there were significant and negative gender effects which were absent when students were anonymous. These findings contribute to our understanding of social dynamics within multicultural learning environments, and raise practical implications for tool design."
2018,An Interactive and Spherical Panorama for Multicultural City Exploration,"Shih, Meiju and Chen, Li-Chieh",10.1145/3206129.3239417,https://doi.org/10.1145/3206129.3239417,Association for Computing Machinery,Proceedings of the 2nd International Conference on Education and Multimedia Technology,,"With the advance of spherical panorama technologies, some organizations have started to apply it to the virtual exploration of physical world. However, whether such technologies could be used for city exploration and education deserves in-depth studies. In this research, an interactive and spherical panorama system was developed to study the possibilities of introducing an international city with diverse cultures for students. The content of experiment was the popular and multicultural attractions in San Francisco. Twenty students were invited to conduct the experiment and interact with the system. The participant completed a post-experiment questionnaire and offered their evaluation from the perspectives of manipulation and content exploration. The results indicated that the system could increase the motivation for learning the diverse cultures of international cities."
2021,The Effectiveness of Multicultural Education Teaching Materials on The Nationalism of Elementary School Teacher Education Students,"Usman, Nuraini and Raharjo, Makmum and Laihat and Chan, Faizal",10.1145/3452144.3453766,https://doi.org/10.1145/3452144.3453766,Association for Computing Machinery,Proceedings of the 4th International Conference on Learning Innovation and Quality Education,,"A learning culture is very much needed in learning in elementary schools. For this reason, every elementary school teacher must have knowledge and abilities in cultural material. This research develops cross-cultural study teaching materials to improve the nationalism character of students. The research method used is the ADDIE method. The development model used in this study is a development model with ADDIE design namely Analysis, Design, Development, Implementation, and Evaluation. The subjects of this study were sixth semester students of the elementary school teacher education study program, FKIP Universitas Sriwijaya. Data collection techniques are expert validation sheets and questionnaires. Data were analyzed using qualitative analysis and analysis of the results of expert validation tests. The product trial phase is carried out on 6th semester students. The results of the study indicate that cross-cultural study teaching materials are suitable for use in learning. It is shown from the results of the validation sheet analysis by the validator that the teaching material developed is included in the excellent category. In addition, the results of the analysis of the questionnaire given to students after using cross-cultural study teaching materials showed the character of student nationalism was in the very good category, and the questionnaire responses provided indicated teaching materials were suitable for use.The results showed that the development of cross-cultural study teaching materials influenced the nationalism character of elementary school teacher education students in the Teacher Training Faculty, Universitas Sriwijaya and the developed teaching materials were suitable for use in learning in cross-cultural Study subjects."
2021,Understanding and Identifying Design Opportunities for Facilitating Humorous Interactions in Multilingual Multicultural Contexts,"Duan, Wen and R. Fussell, Susan",10.1145/3411763.3451668,https://doi.org/10.1145/3411763.3451668,Association for Computing Machinery,Extended Abstracts of the 2021 CHI Conference on Human Factors in Computing Systems,,"Sharing humor within a team can have various benefits. In multilingual teams, however, it is often challenging for nonnative-speaking members (NNS) of the team to fully understand the humor shared among native speakers (NS). In an interview study with 28 NNS, we identified common sources of confusion in humorous interactions. Our study also revealed that the (mis)alignment of people's assumptions of others’ knowledge is key to failed humor and its consequences. NNS felt that NS often assumed everyone shared the knowledge required to understand their humor; thus, cultural references unfamiliar to NNS were a dominant source of confusion. On the other hand, NNS often felt ignorant for not knowing the references required to understand NS humor, as they assumed all the references unfamiliar to them must be generic knowledge known by all NS. We propose design ideas for better alignment of common ground assumptions between NS and NNS to facilitate humor-related communication and alleviate possible negative consequence of failed humor."
2021,Challenges in the Development of a Global Software User Interface by Multicultural Teams: an Industrial Experience,"Penha-Junior, Agnaldo O. and De Souza, Carlos E. and Souza, Guibson M. and Araujo, Jaqueline S. and Vilarouca-Filho, Jos\'{e} Ivan B. and Barroso, Leon M. and Fernandes, Rodrigo j. B. and Fonseca, Paulo Cesar R. and Giuntini, Felipe T.",10.1145/3456126.3456144,https://doi.org/10.1145/3456126.3456144,Association for Computing Machinery,2021 2nd Asia Service Sciences and Software Engineering Conference,,"The process of creating a global system to support the maintenance of devices is a great challenge, due to the amount of aspects involved, such as performance, security, communication, and user experience. This tends to become even more complex when the development team is multicultural and located in several countries. Therefore, this paper presents and discusses the development trajectory, as well as the challenges and overcome during the process of creating RETAS (Runtime Evaluation and Trend Analysis Service), that is an interactive platform for the execution and visualization of automated tests on smartphones. We discuss the challenges of design, implementation, and project organization of industry point of view. Besides, we show aspects of validation of the user experience and usability in the global application context. The discussions demonstrate a learning roadmap for global maintenance applications context."
2019,Multicultural Sensitivity in Course Design,"Hilbelink, Amy",10.1145/3329488.3331177,https://doi.org/10.1145/3329488.3331177,Association for Computing Machinery,,,"Because universities are moving more of their courses online in an effort to increase their education footprint and institutional impact by distributing to foreign students, many in online learning courses are becoming more diverse. As course designers, this impact should be taken into consideration when analyzing the student audience and designing any course. This article discusses recent trends in the global online audience, reminds us of assumptions made during the design process that may impact the multicultural audience, and provides suggestions for working around those assumptions."
2021,Creating a diverse workplace with authentic multicultural voices; how can we create real long-term equality?,"Beckmann Wells, Pat and Carey, Sonya and Duhamel, Magdiela H. and Johnson, Dr. Linc and Martin, Dr. Margaret",10.1145/3450617.3464489,https://doi.org/10.1145/3450617.3464489,Association for Computing Machinery,ACM SIGGRAPH 2021 Panels,,"Computer graphics media industries see themselves as forward thinking and inclusive. However, BIPOC (black, Indigenous and people of color) are often not at the table when issues regarding inclusion are discussed. Inclusion requires a plan that reaches not only the candidate, but the educational and home communities a candidate is from. This panel will discuss the experience of BIPOC artists entering a predominantly white male workforce and what change must occur to make the journey a little better for everyone.Filmmakers, artists, and educators comprise this panel and will represent the barriers experienced by persons of color that occur not just at the interview, but in the educational system and BIPOC community. They will share experiences on production and give honest feedback on how to create positive change."
2019,Role of Technology in Multicultural Environment: Impact of MOODLE Learning System on Global Virtual Team Performance,"Shahid, Kamelia and Yang, Qing and Xingqi, Zou",10.1145/3358528.3358536,https://doi.org/10.1145/3358528.3358536,Association for Computing Machinery,Proceedings of the 2nd International Conference on Big Data Technologies,,"The research on information technology (IT) and learning management system (LMS) is increasing since experts are trying to discover the outcomes of numerous LMS systems to make the learning process more vigorous and dynamic with respect to numerous dimensions and contexts across the globe. This paper investigates the impact of Modular Object Oriented Dynamic Learning Environment (Moodle) on Global Virtual Team Performance (GVPT) along with mediating role of technological factors between the relationships of Moodle and GVPT by considering perceived usefulness factor (PUPLN) of technology. In order to precede the empirical research objectives, the data were gathered between November 2018 and February 2019. The responses were carefully selected and analyzed employing structural equation modeling (SEM). All the respondents were deliberately targeted using online techniques through emails and remainder electronic sources. The findings of the present article suggested that Moodle has a positive impact on GVPT and is a productive tool to enhance GVPT which highly encouraged the team members to interchange information more effectively. Moreover, the fully mediating effect of PUFLN was found between the connection of Moodle and GVPT, respectively. This study provides implications for researchers across the globe."
2015,Teaching sustainability in a multicultural environment,"Caetano, N\'{\i}dia and Rocha, Jo\~{a}o and Quadrado, Jos\'{e} Carlos and Cardoso, Jos\'{e} Mar\'{\i}lio and Felgueiras, Manuel Carlos",10.1145/2808580.2808603,https://doi.org/10.1145/2808580.2808603,Association for Computing Machinery,Proceedings of the 3rd International Conference on Technological Ecosystems for Enhancing Multiculturality,,"Nowadays sustainability is becoming extremely important and although the concept is perfectly established, there are different approaches to teach the fundamental aspects to be considered. Aiming at a higher level of internationalization and having in mind that students could gain from an intensive and multicultural experience ISEP organized its first Engineering for Sustainable Development (E4SD) Summer Course, in July 2014. With a set of modules taught by experienced teachers in different topics of sustainability, the course had a problem based learning (PBL) approach and was organized in a very informal model. A total of 8 Korean and 8 Portuguese students from different areas of scientific knowledge attended this course and could interact and develop ties with each other and the teachers involved in the course, while learning and applying the fundamental skills on sustainability. In what concerns the approach used by students from different countries to solve the sustainability problem that was launched for discussion (The Rehabilitation of Historic Cities - The Case of Porto UNESCO World Heritage Site: A Sustainable Development Challenge) it was noticed a clear difference between the two cultures. Whereas the young Korean students did not seem to care with the heritage behind a building or an historic city, the Portuguese students, used to live in a historic city, proposed a much more conservative approach. However, both the students could interact and understand the other side of the problem, reaching a consensual proposal. Finally the Korean students came to the conclusion that it was of interest to preserve Porto history. The fact that Korea is a very different country and that Korean culture is significantly different from the European one, could have triggered cultural issues. Nevertheless, the young generations are prone to change and adaptation to new situations, what allows for the resolution of any possible conflict. The PBL approach allowed for a more dynamic and informal learning environment. This revealed attractive for the young Korean students who were gaining different skills in this Summer Course as a prize for their good results in their formal learning courses. On the other hand, for the Portuguese teachers the E4SD Summer Course represented an opportunity to interact with a larger group of students with the same different culture, which is different from interacting with only one or two students coming from Europe under Erasmus mobility, in a very short and intensive contact period."
2023,Using Collaborative Online International Learning to Increase Student Success in a Quantitative Business Core Course: Using COIL to Increase Student Success in a Quantitative Business Core Course,"Xu, Hartling and Lin, Yirong",10.1145/3606094.3606148,https://doi.org/10.1145/3606094.3606148,Association for Computing Machinery,Proceedings of the 2023 8th International Conference on Distance Education and Learning,,"An innovative Collaborative Online International Learning (COIL) program is developed in a quantitative business core course. Students from Salem State University are paired with students from Lanzhou University of Finance and Economics to work on a course project over a five-week period. Without traveling abroad, students have meaningful and valuable engagement with peers in another country. COIL is a practical way to prepare students for diversity and multicultural while still helps fulfill academic program goals in their home universities. Additionally, COIL helps faculty leverage the utility of online learning technologies and structure the course in support of the social and emotional well-being of students during and post the COVID-19 pandemic. This COIL effort also has potential to show promising progress and fruitful results in business courses redesign beyond the pandemic. An innovative Collaborative Online International Learning (COIL) program is developed in a quantitative business core course. Students from Salem State University are paired with students from Lanzhou University of Finance and Economics to work on a course project over a five-week period. Without traveling abroad, students have meaningful and valuable engagement with peers in another country. COIL is a practical way to prepare students for diversity and multicultural while still helps fulfill academic program goals in their home universities. Additionally, COIL helps faculty leverage the utility of online learning technologies and structure the course in support of the social and emotional well-being of students during and post the COVID-19 pandemic. This COIL effort also has potential to show promising progress and fruitful results in business courses redesign beyond the pandemic."
2021,TEEM'21: Ninth International Conference on Technological Ecosystems for Enhancing Multiculturality (TEEM'21),,,,Association for Computing Machinery,,,
2019,Multiculturalism and Creativity in Storytelling - Visual Development of a Digital Manipulative for Young Children,"S\'{a}, Gabriela and Sylla, Cristina and Martins, V\'{\i}tor and Caruso, Ana and Menegazzi, Douglas",10.1145/3325480.3326571,https://doi.org/10.1145/3325480.3326571,Association for Computing Machinery,Proceedings of the 2019 Conference on Creativity and Cognition,,"Here, we present the visual development of a digital manipulative that promotes creative storytelling among young children. The tool addresses multiculturalism, by presenting children with story elements from different cultures. We reflected on how to create visual elements that both represent a given culture and foster the children's imagination and creativity. It is key to create eye-catching and imagination-inducing visuals, that can be achieved through an exploratory and iterative process. It is crucial to undertake extensive research to learn about and understand the history and meanings behind each culture, to avoid stereotypes and other representation clich\'{e}s. Whenever possible, it is important to involve people raised in each culture in the design process, since their contribution is grounded in real life experience and will translate into valuable insights."
2019,TEEM'19: Proceedings of the Seventh International Conference on Technological Ecosystems for Enhancing Multiculturality,,,,Association for Computing Machinery,,,"This book gathers the works carried out by an important number of researchers in the context of TEEM Conference 2019. The seventh edition of this International Conference on Technological Ecosystem for Enhancing Multiculturality - TEEM, as every two years, takes place outside its birth home, Salamanca. This year TEEM takes place at Le\'{o}n (North West of Spain), organized by the Robotics research group of the University of Le\'{o}n, that this year is celebrating its 40 anniversary [1]."
2020,TEEM'20: Eighth International Conference on Technological Ecosystems for Enhancing Multiculturality,,,,Association for Computing Machinery,,,
2019,Do people believe in Artificial Intelligence? A cross-topic multicultural study,"Kolasinska, Agnieszka and Lauriola, Ivano and Quadrio, Giacomo",10.1145/3342428.3342667,https://doi.org/10.1145/3342428.3342667,Association for Computing Machinery,Proceedings of the 5th EAI International Conference on Smart Objects and Technologies for Social Good,,"In the era of 4.0 industry, artificial intelligence and machine learning are the undisputed protagonists on a world-wide stage. In the last decade, expert and learning systems have been widely applied to a plethora of tasks that were considered, in the past, as solvable only by a human. And on top of that, machines are becoming more reliable and accurate than human experts.However, despite the artificial intelligence being drenched in our everyday life, people do not completely realize this radical change, and they have a warped perception of it. In this work, we aim at exploring and analyzing the human perception and trust in artificial intelligence. To this end, we collected personal opinions concerning juicy topics in artificial intelligence literature, meaning the interpretability of black-box models, and the reliability of autonomous systems. The analysis has been conducted on different applications, including medical and cybersecurity domains."
2016,The design of digital memorials: scaffolds for multicultural communication based on a semiotic analysis of tombs,"Pereira, Vin\'{\i}cius Carvalho and Maciel, Cristiano and Leit\~{a}o, Carla Faria",10.1145/3033701.3033726,https://doi.org/10.1145/3033701.3033726,Association for Computing Machinery,Proceedings of the 15th Brazilian Symposium on Human Factors in Computing Systems,,"This research is aimed at supporting the design and customization of digital memorials and similar applications from the same domain, considering users' multiculturalism. To do so, we focus on interface communicability and the semiotic elements such applications may use in terms of content and expression. This stage of the research consists of a qualitative study: a semiotic analysis of tombs, tombstones and physical memorials from four cemeteries from different cultures. The main results of this study are: a description of the design space of digital memorials considering social actors and their objectives upon interacting with the application; and the identification of scaffolds to analyze the design process in digital memorials. We expect that these results support customizable system projects that address cultural aspects in digital memorials."
2024,Towards Culturally Adaptive Large Language Models in Mental Health: Using ChatGPT as a Case Study,"Aleem, Mahwish and Zahoor, Imama and Naseem, Mustafa",10.1145/3678884.3681858,https://doi.org/10.1145/3678884.3681858,Association for Computing Machinery,Companion Publication of the 2024 Conference on Computer-Supported Cooperative Work and Social Computing,,"This paper explores the efficacy of ChatGPT as a multicultural therapist. Our study involves two rounds of prompt testing exercises: the first to assess general therapeutic skills and the second to identify multicultural counseling limitations. Our findings reveal significant limitations in memory, adaptability, listening, engagement depth, and cultural sensitivity. These limitations highlight the need for AI models to better adapt to diverse cultural contexts and exhibit increased empathy and responsiveness. We further discuss the integration of multicultural therapeutic practices, as well as the importance of culturally sensitive AI in mental health support. Our research contributes to Human Computer Interaction (HCI) literature by proposing design recommendations for future development and underscores the need for culturally nuanced therapeutic interactions in AI-driven mental health support"
2016,Diversity and multiculturalism of LIS education,"Aytac, Selenay and Rorissa, Abebe and Ma, Lai and Chen, Hsin Liang and Potnis, Devendra and Hu, Xiao",,,American Society for Information Science,"Proceedings of the 79th ASIS&amp;T Annual Meeting: Creating Knowledge, Enhancing Lives through Information &amp; Technology",,"The purpose of the panel is to raise the common questions about diversity and multiculturalism training in library schools, and engage the audience in a meaningful discussion about diversity and multiculturalism. We will discuss the importance of diversity and multiculturalism training in library and information science curricula by examining multiple countries/regions as case studies. We would be seeking answers to two major questions: ""What do responsible library science educators need to do to educate librarians on diversity/multiculturalism/internationalism?"" and ""How can we educate future librarians so that they will have a greater perspective on diversity and multiculturalism?"""
2018,TEEM'18: Proceedings of the Sixth International Conference on Technological Ecosystems for Enhancing Multiculturality,,,,Association for Computing Machinery,,,
2019,Are We Having Fun Yet? Designing for Fun in Artificial Intelligence That Is Multicultural and Multiplatform,"Zamora, Jennifer",10.1145/3349537.3352767,https://doi.org/10.1145/3349537.3352767,Association for Computing Machinery,Proceedings of the 7th International Conference on Human-Agent Interaction,,"Personality of Artificial Intelligence (A.I) is a vast and complex domain. Traits like trustworthiness and humanness have long been evaluated, but less so for traits like fun. In this study we evaluate fun in four conversational agents with a mix of menial tasks, games, and free play in the US and India on voice and text-based platforms. Our research explores user sentiment of fun in an A.I. personality, implications of fun personality on voice-based and text-based agents, and the perception of a fun A.I. personality in two culturally distinct markets. We used a mixed method approach to evaluate these objectives with 44 participants. Our results end with design principles for creating fun in artificial intelligence: 1) balance fun through conversational humor and goal-oriented actions, 2) create fun experiences through playful interactions, 3) convey fun through platform specific expressions like tone of voice or visual gestures and emojis, and 4) be inclusively fun by being culturally relevant so your conversational agent translates across borders."
2017,TEEM 2017: Proceedings of the 5th International Conference on Technological Ecosystems for Enhancing Multiculturality,,,,Association for Computing Machinery,,,"Four years ago, it started an amazing challenge in the Research Institute for Educational Sciences at the University of Salamanca (http://iuce.usal.es/) with the TEEM first edition [8; 26]. It meant a new way to organize an academic conference and, by the way, to maximize the creation of a research community around the Knowledge Society topic from an interdisciplinary perspective [17] and in which the PhD students might have a good opportunity to network with other peers and to be in contact with consolidated researchers all around the world [7; 15; 16]."
2018,Virtual Reality for Cultural Competences,"Faltaous, Sarah and Elbolock, Alia and Talaat, Mostafa and Abdennadher, Slim and Schneegass, Stefan",10.1145/3282894.3289739,https://doi.org/10.1145/3282894.3289739,Association for Computing Machinery,Proceedings of the 17th International Conference on Mobile and Ubiquitous Multimedia,,"With the expansion of multicultural communities, raising awareness to diminish cultural misconceptions became a must. We investigate different research probes using interactive Virtual Reality (VR) applications to increase such awareness. VR environments provide a high sense of immersion, which enhance the user's experience. In this work, we present three VR interactive research probes that allow users to understand cultural differences and to reduce cultural misconceptions."
