year,title,author,doi,url,publisher,booktitle,editor,abstract
2018,Faculty Development A Panacea for Qualitative Science and Engineering Education in Nigeria,"Aisien, Felix A. and Aisien, Eki T.",10.1109/WEEF-GEDC.2018.8629604,,,2018 World Engineering Education Forum - Global Engineering Deans Council (WEEF-GEDC),,"The attainment of an effective qualitative science and engineering education (SEE) in Nigeria has been a serious challenge to teaching and learning of science and engineering courses in higher institution in Nigeria. An effective faculty development will address problems such as underprepared students, replacement of old faculty?, lack of integration of technology into teaching and learning process, lack of interdisciplinary collaborations, increasing multicultural and multi religious diversity among others.The research was conducted with the aid of questionnaire administered to 100 respondents from five different Universities in Nigeria involved in effective faculty development. The results obtained were analysed using frequency or cross tables and graphic visualization methods.The results show that apart from underprepared students and students' cultism related challenges, other challenges can be solved when there is effective faculty development programme in the institution. Thus, proper faculty development will serve as magic bullet for peaceful resolution of the problems incapacitating effective qualitative science and engineering education Nigeria."
2021,31 Intersectionality,"","",https://ieeexplore.ieee.org/document/9357638,MIT Press,Uncertain Archives: Critical Keywords for Big Data,,"In recent years some light appears to have permeated through the black box of big data archives, revealing how we are known, tracked, and commodified through the collection, storage, and deployment of platform data. For instance, a number of recent articles have described an of-our-times exercise in which Facebook users can log into their accounts, navi&#x00AD;gate to the ad preferences portal, and find out who the platform thinks they are&#x2014;or what it thinks they might like to purchase. If the platform believes you to be nonwhite, it might put you in the &#x0022;multicultural affinity&#x0022; interest group (Anderson 2018), or it might peg your &#x0022;people&#x0022; interests as Black American public figures such as former first lady Michelle Obama and sports commentator Charles Barkley. Other interests might be as broad as &#x0022;shopping&#x0022; or &#x0022;science,&#x0022; as fuzzy as &#x0022;self-awareness,&#x0022; or as broadly political as &#x0022;feminism.&#x0022; The categories can be as humorously wrong as they are broadly correct: a portrait of the self that is equal parts shocking and banal."
2025,Lost in Transition: The Struggle of Women Returning to Software Engineering Research After Career Breaks,"Chakraborty, Shalini and Baltes, Sebastian",10.1109/CHASE66643.2025.00010,,,2025 IEEE/ACM 18th International Conference on Cooperative and Human Aspects of Software Engineering (CHASE),,"The IT industry provides supportive pathways such as returnship programs, coding boot camps, and buddy systems for women re-entering their job after a career break. Academia, however, offers limited opportunities to motivate women to return. We propose a diverse multicultural research project investigating the challenges faced by women with software engineering (SE) backgrounds re-entering academia or related research roles after a career break. Career disruptions due to pregnancy, immigration status, or lack of flexible work options can significantly impact women's career progress, creating barriers for returning as lecturers, professors, or senior researchers. Although many companies promote gender diversity policies, such measures are less prominent and often under-recognized within academic institutions. Our goal is to explore the specific challenges women encounter when re-entering academic roles compared to industry roles; to understand the institutional perspective, including a comparative analysis of existing policies and opportunities in different countries for women to return to the field; and finally, to provide recommendations that support transparent hiring practices. The research project will be carried out in multiple universities and in multiple countries to capture the diverse challenges and policies that vary by location."
2025,Educational Trends in 21st Century Education,"Montes, Viviana Monterroza",10.1109/IFE63672.2025.11024991,,,2025 Institute for the Future of Education Conference (IFE),,"Education is a continuous process that encompasses personal, social, and sociocultural aspects, based on a holistic view of human beings and their rights. It can be delivered in both formal and non-formal institutions, with the goal of instilling humanistic values. In the 21st century, education is closely linked to research, promoting community participation and addressing specific problems through educational projects. This approach includes science, technology, and society (STS), understood as integral elements for value-based education and civic engagement. Currently, education is undergoing a significant transformation, adapting to technological and scientific challenges to improve educational quality. It is essential that educational systems promote skills such as critical thinking and the ability to adapt to a changing economy. Information and communication technologies (ICT) are crucial, enabling meaningful and autonomous learning. Furthermore, family involvement is crucial in the educational process, as parental support improves students' performance and school adaptation. 21st-century educators must be dynamic and flexible, fostering collaborative and empathetic learning in a multicultural environment. The current educational reality, especially in Latin America, presents challenges such as unequal access and the need to train students with relevant skills for social integration. The challenges include the implementation of competencies and the promotion of learning that responds to the demands of the knowledge society. In summary, modern education requires constant innovation, integrating technology and new methodologies to prepare students for a constantly changing future. Teachers and students must adapt to these changes, being proactive in their training and in the application of didactic strategies that foster meaningful and relevant learning."
2024,Comparative Analysis of Multilingual and Cross-Lingual Models for Aspect-Based Sentiment Analysis,"Hussain, Sajithunisa and Khan, Rubina Liyakat and Quraishi, Suhail Javed and Singh, Anupam and George, Remya P. and Ahmad, Nazia",10.1109/SMART63812.2024.10882527,,,2024 13th International Conference on System Modeling & Advancement in Research Trends (SMART),,"Aspect-Based Sentiment Analysis (ABSA) is a finegrained sub-task of Natural Language Processing concerned with opinion bearing on certain aspects contained in text. The shift towards multicultural content on the digital platforms implies the need to have models which will perform the sentiment analysis of the multilingual content. In this study, a detailed comparison of ten developed methodologies of ABSA models is presented, including the theoretical background, data sets, and the assessment of performances of each model. We explore various techniques that are based on the lexical resources, statistical and machine learning, and state of the art deep learning networks. The study also sheds light on the potential strength and weakness of the proposed method and points out the possible further research directions that can be undertaken for improving the multilingual or cross-lingual sentiment analysis."
2020,"Design, development and validation of a mobile application to prevent the extinction of the “Taushiro” language in Loreto, Peru","Yahuarcani, Isaac Ocampo and Baca, Luis Excequiel Campos and Gómez, Edgar Gutiérrez and Lagos, Kay Denisse Jeri and Hidalgo, Mario Meza and Moreno, Juan Gamarra and Díaz, Jose Edgar García and Llaja, Lelis Antony Saravia and Satalaya, Angela Milagros Nuñez and Cruzado, Javier Arturo Gamboa",10.1109/CLEI52000.2020.00057,,,2020 XLVI Latin American Computing Conference (CLEI),,"The present work has included the design, development and validation of a mobile application oriented to the preservation and rescue of the native Peruvian language, in process of extinction, called ""Taushiro"". Peru is a multicultural country that officially has 48 native languages. From them to 17 have problems of extinction, although 4 of these languages are almost extinct, one of them is Taushiro, which has only one survivor over 70 years, who participated with his voice and knowledge of their culture in the development of the mobile application. Functional and non-functional requirements have been identified based on the conditions of urban and rural spaces for the use of the application. The offline mobile application was generated, for the basic learning of Taushiro through the sounds of the only speaker. Its interactive contents are oriented to children from cities and rural communities and are classified through vowels, numbers, basic phrases, colors, fauna and flora, etc. The validation was carried out in an educational institution in the city of Iquitos, 24 children between 6 and 7 years old participated. The results have been satisfactory with respect to the interest and learning of the children towards the Taushiro language, however, it is necessary that this initiative be complemented with other instruments (with more advanced contents) and other activities and instruments."
2021,Development of Cable Operator Management System,"Ahmed, Kayser and Shakil, Dewan and Tanve, Farhan Amar and Anwar, Rahat and Khan, Mohammad Monirujjaman",10.1109/UEMCON53757.2021.9666488,,,"2021 IEEE 12th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)",,"A website may help you develop stronger customer connections. The 'Cable Providers' are getting more demanding day by day on the market side. Yet our owners are selling an outdated system to clients that are even more annoying. The 'Cable Operator' service provider, let alone the smart payment system, is almost non-digital. Customers still could not notice the Cable Provider material when they wanted it. There is still no proper method and approach for data like that. By providing a web-based management system, this site can easily provide these solutions to the owners and the customers. As well different companies begin their Cable operator’s business and become an important part of economics, also increasing competition through this field. For this cause of online dependence, this website is built for cable operators to increase their size. In our region, cable operator operation is becoming a wide enterprise. Even in deep rural areas, there is already a link to the cable operator through the televisions that have multicultural activities. Mainly this website is created along with a web portal by our project properly. The goal is to ensure a proper management system created for the owner of this field and also enable them to satisfy their customers as well. This ‘Cable Operator Management System’ will create a new era in the field of cable operation."
2023,Incorporating Intercultural and Interdisciplinary Methods in a Project-based Learning Course to Foster Global Leading Engineers,"Ito, Akiko and Grib, Dina and Furuya, Reiko and Hara, Susumu",10.1109/TALE56641.2023.10398384,,,"2023 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)",,"As the global community finds itself confronting unprecedented environmental, socioeconomic and technological problems and needs, engineering education is also faced with the challenges of meeting current and future demands to produce engineers who can work in multidisciplinary and multicultural teams globally. This work-in-progress paper describes how to incorporate intercultural and interdisciplinary methods into project-based learning in engineering education, taking the Flying Robot Program at the School of Engineering, Nagoya University, as an example. It also analytically reframes an emerging educational model—the differential approach, which contrasts with the conventional integrative approach by incorporating the relevant skills and mindset—in the context of Japanese engineering education."
2024,Audio-Enhanced Video-to-Audio Retrieval Using Text-Conditioned Feature Alignment,"Razdan, Anuj and Kumar, Praveen and Bhatia, Shaveta and Das, Nripendra Narayan and Orynbek, Alibek and Ibrahim, Mohamed",10.1109/ICCSC62048.2024.10830345,,,"2024 International Conference on Computing, Sciences and Communications (ICCSC)",,"The pace of technological advancement has accelerated significantly. Videos and images have ingrained themselves into daily life. Large amounts of generated video data can be used for real-time analysis. These days, it can be used to improve healthcare and video search. This essay tackles the issue through content analysis. This paper addresses audio feature extraction and multilingual and multicultural considerations. The method in the paper takes videos as a dataset. In this paper, it uses the genism model to extract the matching feature. The similarity table value for different words is between 0.55 to 0.77. The score graph is between 0.4 to 0.8."
2021,Promoting English Learners’ Intercultural Competence through Technology-enhanced Model,"Li, Xiaomei",10.1109/ICISE-IE53922.2021.00352,,,2021 2nd International Conference on Information Science and Education (ICISE-IE),,"Intercultural Competence has been regarded as an essential aspect of second language teaching and learning in recent decades and technology-enhanced model has been strongly advocated to promote learners’ Intercultural Competence. The technology-enhanced model has some distinctive benefits as well as potential challenges. The study explores the effectiveness of using technology-enhanced approach, which was based on a Web-based system, Teachermate Platform, to promote English learners’ IC ina university from China. 45 learners who learned English as a foreign language involved in this study. The qualitative and quantitative methods were used to analyze the data. Basing on the theoretical framework of IC and a questionnaire, the analysis of the data suggests that this teaching design can be effective for helping learners to increase multicultural knowledge, develop a more open mind and objective attitude towards people and cultures in the globe and acquire more sensible intercultural skills. Overall, the students’ perceptions on the teaching intervention are positive."
2015,Qualitative assessment of the University of Texas system Louis Stokes Alliance for Minority Participation Summer Research Academy Abroad: An international experience in research and culture,"Arciero-Pino, Ariana and Flores, Benjamin and Knaust, Helmut and Gonzales, Lynda and Quintana-Baker, Maricel",10.1109/FIE.2015.7344038,,,2015 IEEE Frontiers in Education Conference (FIE),,"Since 1993 nine universities in the University of Texas System and several affiliated community colleges have worked collaboratively to promote STEM undergraduate research through the Louis Stokes Alliance for Minority Participation. In 2012 the Alliance was recognized as a model Senior Alliance by the National Science Foundation and to expand on its work an international research component was added: the Summer Research Academy Abroad (SRA-A). Our first cohort of eight students travelled abroad during the summer of 2014. The students participated in an intensive undergraduate research experience for eight weeks and thus became part of the global STEM community. Prior to their departure these students enrolled in a spring 2014 online seminar to prepare them for both the scientific and cultural components of the SRA-A experience. They learned to operate with confidence in new, unfamiliar environments and gained a multicultural perspective. They also acquired early membership and credibility in the global science arena and began to understand the competitiveness that drives the international research community. This paper discusses program details, participant profiles, and assessment after the program's first year of operation."
2023,Intracompany Training in Software Testing: Experience Report,"Itkin, Iosif and Sirbiladze, Natia and Treshcheva, Elena and Yavorskiy, Rostislav",10.1109/ICSTW58534.2023.00076,,,"2023 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",,"The objective of this short paper is to summarize the team’s experience in the area of software-testing education obtained through the development of an extensive internal training program for entry-level software testing specialists. The curriculum description is outlined in the context of most recent trends in the professional domain of software testing as well as the demand for new skills caused by the industry shift. We discuss the educational approach, course design, instruction tools and techniques along with the challenges and lessons learned in the setting of an international, multicultural, and geographically-distributed classroom."
2021,Cultural Recoding of the Movie Mulan from the Cross-cultural Perspective,"Fu, Tingting and Wei, Ziyan and Jia, Hui",10.1109/BDEE52938.2021.00034,,,2021 International Conference on Big Data Engineering and Education (BDEE),,"This article analyzes the Disney movie Mulan as a typical case of cross-cultural communication. The sentiment analysis of the movie Mulan’s review on the Rotten Tomatoes website, an influential movie-review aggregation site, has been conducted through Python coding technology. The analysis results show that nearly 86.5% of movie reviews are positive. It is found Mulan has been highly accepted by Western audiences and maintained a positive image in Western countries. One of the reasons is that the film has a large amount of traditional Chinese cultural elements, satisfying the world’s curiosity and expectations of Eastern civilization; another reason is that the flint integrates the mainstream Western values such as free and independent feminist ideas and personal heroism, catering to the tastes of movie audiences. This research offers a new perspective that focuses on the audiences’ response and explores the common issues of cross-cultural communication in the new era of multicultural collision."
2015,Dealing with family relationships in linked data,"Herradi, Noura and Hamdi, Fayçal and Ghorbel, Fatma and Métais, Elisabeth and Ellouze, Nebrasse and Soukane, Assia",10.1109/IWCIM.2015.7347068,,,2015 International Workshop on Computational Intelligence for Multimedia Understanding (IWCIM),,"Many web resources require an accurate representation of family relationships. However, available ontologies describing this kind of relationships provide only simple and rudimentary representations. In addition, the transition from one culture/language to another cannot be solved with simple translation solutions, specifically when concepts do not intersect in different cultures. In this paper, we propose a new ontology, called PersonLink, that defines rigorously and precisely different family relationships, and takes into account the differences that may exist between cultures and new relationships emerging in our societies nowadays. It provides a solution based on multicultural meta-ontology of concepts and associated mechanisms. Moreover, rules are provided to infer new links and/or check inconsistencies in the inputs. The PersonLink ontology has been applied, first, in the context of the CAPTAIN MEMO memory prosthesis (for modeling, storing, and reasoning on “family relationships” links), and then, in the context of the two large scale real-world datasets, Freebase and DBpedia."
2017,The building of a sense of local identity by youth volunteers in Taiwan Alishan's Zhuqi Township through local participation,"Su, Pei-Chi and Chu, Ko-Hsuan",10.1109/ICASI.2017.7988201,,,2017 International Conference on Applied System Innovation (ICASI),,"Local culture is important historical stories which the local development is based upon. Multicultural stories are an important accumulation of life and the core of settlement development. During the Japanese occupation period, the important cultural asset “Alishan Forest Railway” was built in “Zhuqi”, the area of this study which affected the development of the entire Chiayi City. This study starts from local resources, and aims to transfer local resources to “youth” through education. The local community education curriculum is design based on local stories to allow “local youth” to experience and practice the curriculum through action, research, observation and different phases of learning courses, and to further enable the “youth” to form a “sense of local identity” with the local culture and self-value recognition, so as to explore the identity building process and the nature behind it. In addition, the way the local culture and community education are merged is explored through action research."
2024,Mobile Veggie Detector: Real-Time Detection of Vegetables Through Mobile Application and Deep Learning,"V, Shreenithi T and V, Shreemathi and Deepa, D.",10.1109/ICACCS60874.2024.10716989,,,2024 10th International Conference on Advanced Computing and Communication Systems (ICACCS),,"In multicultural markets, language barriers hinder effective communication between customers and native-speaking vendors while identifying vegetables. This delays the transaction process and impacts the shopping experience. The proposed system detects the vegetables in real-time using a smartphone application and instantly displays the result on their screens, eliminating the need for verbal interaction. Our application helps both vendors and customers with smoother transactions. This eventually improves market dynamics and the shopping experience. The dataset containing various vegetables was collected from Kaggle and also curated from self-made videos. The proposed model is trained with the SSD MobileNetV2 FPN Lite (Single Shot Multi-box Detector) object detection model, and the TensorFlow file of the model is integrated within our mobile application in Android Studio. Our app recognizes vegetables instantly, offering rapid and precise outcomes."
2020,Different ways to prepare students and faculty for globalization,"Friesel, Anna",10.1109/EDUCON45650.2020.9125303,,,2020 IEEE Global Engineering Education Conference (EDUCON),,"Global and collaborative engineering projects across borders are reality in industry today. However, most of the universities fight with different obstacles to develop and train international collaboration skills in engineering programs. In this paper, we present different methods to prepare students and faculty for globalization. All methods we describe to train international/global skills have advantages and disadvantages. In this paper, we present our experience and students’ opinion on international training. We continuously develop all the named forms of international collaboration and work on to include more faculty members in this work. Our goal is to develop needed global, multicultural and interdisciplinary skills in engineering programs, prepare students for their future jobs in global world and increase the faculty engagement in international collaboration."
2021,Analysis of university students' awareness and opinions on the SDGs-From interactive lessons using the online whiteboard (Miro),"Sugihara, Toru",10.1109/IIAI-AAI53430.2021.00037,,,2021 10th International Congress on Advanced Applied Informatics (IIAI-AAI),,"This study analyzed university students' awareness and opinions of the SDGs (Sustainable Development Goals) through questionnaires and online group work. In the questionnaire, the students were categorized into two groups: those who knew about the SDGs and those who did not. The answers were statistically analyzed in relation to the local community, multicultural symbiosis, and learning motivation and career thoughts. An online whiteboard (Miro) was used to conduct group work online. Students wrote their opinions about the SDGs on the online whiteboard using sticky notes. The content was then analyzed."
2021,An Inclusive and Sustainable Artificial Intelligence Strategy for Europe Based on Human Rights,"Fernández-Aller, Celia and de Velasco, Arturo Fernández and Manjarrés, Ángeles and Pastor-Escuredo, David and Pickin, Simon and Criado, Jesús Salgado and Ausín, Txetxu",10.1109/MTS.2021.3056283,,,,,"The United Nations (UN) 2030 Agenda and other movements toward setting global goals such as the Paris Agreement and the European Green Deal/U.S. Green New Deal are laying the groundwork for a transformation beyond purely market-based economics toward sustainability and inclusiveness [1], in which technological innovation and, in particular, artificial intelligence (AI) can play a central role. The European Union (EU) is committed to the 2030 Agenda and the sustainable development goals (SDGs), which the UN itself has recognized cannot be achieved without a people-focused, science-based, digital revolution [2]. This commitment to the 2030 Agenda should entail promoting an inclusive and sustainable AI strategy, rather than a strategy with a narrow focus on competitiveness [3], [4]. In order for AI to contribute to achieving the SDGs, a systemic approach to the development of AI solutions is required [5]-[9]. Conversely, the SDGs provide an ideal framework to test the desirability of AI solutions [10]. Europe's multicultural character and its framework of international collaboration give it a head start toward becoming a global reference in the promotion of an inclusive and sustainable AI. Sharing the experiences and practices of such a European AI could make a significant contribution to achieving the SDGs."
2022,Principle-Based Approach for the De-Identification of Code-Mixed Electronic Health Records,"Wang, Chen-Kai and Wang, Feng-Duo and Lee, You-Qian and Chen, Pei-Tsz and Wang, Bo-Hong and Su, Chu-Hsien and Kuo, Joseph Chin-Chi and Wu, Chi-Shin and Chien, Yi-Ling and Dai, Hong-Jie and Tseng, Vincent S. and Hsu, Wen-Lian",10.1109/ACCESS.2022.3148396,,,,,"Code-mixing is a phenomenon where at least two languages are combined in a hybrid manner in the context of a single conversation. The use of mixed language is widespread in multilingual and multicultural countries and poses significant challenges for the development of automated language processing tools. In Taiwan’s electronic health record (EHR) systems, unstructured EHR texts are usually represented in a mixture of English and Chinese which increases the difficulty for de-identification and synthetization of protected health information (PHI). We explored this problem by applying several state-of-the-art pre-trained mono- and multilingual language models and propose to exploit the principle-based approach (PBA) for the tasks of PHI recognition and resynthesis on a code-mixed EHR corpus annotated with 6 main categories and 25 subcategories of PHIs. A hierarchical principle slot schema is defined in the PBA to encode knowledge of code-mixed PHIs and utilize slots to learn from the training set to assemble principles for recognizing PHI mentions and synthesizing surrogates simultaneously. In addition, a semantic disambiguation process is implemented to disambiguate ambiguous PHI categories in the de-identification process and to dynamically extend the knowledge encoded in PBA during the knowledge augmentation process. The experiment results demonstrate that the proposed method can achieve the best micro- and macro-F-scores in comparison to the other mono- and multilingual language models fine-tuned on our code-mixed corpus."
2020,Overseas Use of the Remote Laboratory NetLab,"Nafalski, Andrew and Milosz, Marek and Considine, Hugh and Nedić, Zorica",10.1109/EDUCON45650.2020.9125230,,,2020 IEEE Global Engineering Education Conference (EDUCON),,"In this paper we report on the use of the NetLab remote laboratory located in Australia, accessed outside the country, including Sri Lanka, Poland, Singapore and Sweden and other tens of locations. After a review of the current use and the development of NetLab, we concentrate on the overseas applications of the remote laboratory. There is an increasing recognition by students using remote laboratories that their learning experience is comparable with working in real laboratories. Remote laboratories enable working in an international, multicultural environment, becoming more and more important in the era of globalisation."
